CP001472.1 Acidobacterium capsulatum ATCC 51196, complete genome
CP001941.1 Aciduliprofundum boonei T469, complete genome
CP001071.1 Akkermansia muciniphila ATCC BAA-835, complete genome
AE000782.1 Archaeoglobus fulgidus DSM 4304, complete genome
AE015928.1 Bacteroides thetaiotaomicron VPI-5482, complete genome
CP000139.1 Bacteroides vulgatus ATCC 8482, complete genome
NZ_JGWU01000001.1 Bordetella bronchiseptica D989 ctg7180000008197, whole genome shotgun sequence
NZ_JGWU01000002.1 Bordetella bronchiseptica D989 ctg00009, whole genome shotgun sequence
NZ_JGWU01000003.1 Bordetella bronchiseptica D989 ctg7180000009390, whole genome shotgun sequence
NZ_JGWU01000004.1 Bordetella bronchiseptica D989 ctg000028, whole genome shotgun sequence
NZ_JGWU01000005.1 Bordetella bronchiseptica D989 ctg7180000009410, whole genome shotgun sequence
NZ_JGWU01000006.1 Bordetella bronchiseptica D989 ctg000015, whole genome shotgun sequence
NZ_JGWU01000007.1 Bordetella bronchiseptica D989 ctg000032, whole genome shotgun sequence
NZ_JGWU01000008.1 Bordetella bronchiseptica D989 ctg000025, whole genome shotgun sequence
NZ_JGWU01000009.1 Bordetella bronchiseptica D989 ctg7180000009411, whole genome shotgun sequence
NZ_JGWU01000010.1 Bordetella bronchiseptica D989 ctg000023, whole genome shotgun sequence
NZ_JGWU01000011.1 Bordetella bronchiseptica D989 ctg7180000009343, whole genome shotgun sequence
NZ_JGWU01000012.1 Bordetella bronchiseptica D989 ctg7180000009371, whole genome shotgun sequence
NZ_JGWU01000013.1 Bordetella bronchiseptica D989 ctg7180000009416, whole genome shotgun sequence
NZ_JGWU01000014.1 Bordetella bronchiseptica D989 ctg00004, whole genome shotgun sequence
NZ_JGWU01000015.1 Bordetella bronchiseptica D989 ctg7180000009379, whole genome shotgun sequence
NZ_JGWU01000016.1 Bordetella bronchiseptica D989 ctg7180000009386, whole genome shotgun sequence
NZ_JGWU01000017.1 Bordetella bronchiseptica D989 ctg000027, whole genome shotgun sequence
NZ_JGWU01000018.1 Bordetella bronchiseptica D989 ctg000018, whole genome shotgun sequence
NZ_JGWU01000019.1 Bordetella bronchiseptica D989 ctg00008, whole genome shotgun sequence
NZ_JGWU01000020.1 Bordetella bronchiseptica D989 ctg7180000009311, whole genome shotgun sequence
NZ_JGWU01000021.1 Bordetella bronchiseptica D989 ctg000019, whole genome shotgun sequence
NZ_JGWU01000022.1 Bordetella bronchiseptica D989 ctg7180000009348, whole genome shotgun sequence
NZ_JGWU01000023.1 Bordetella bronchiseptica D989 deg7180000009139, whole genome shotgun sequence
NZ_JGWU01000024.1 Bordetella bronchiseptica D989 ctg7180000009394, whole genome shotgun sequence
NZ_JGWU01000025.1 Bordetella bronchiseptica D989 ctg00006, whole genome shotgun sequence
NZ_JGWU01000026.1 Bordetella bronchiseptica D989 ctg7180000009351, whole genome shotgun sequence
NZ_JGWU01000027.1 Bordetella bronchiseptica D989 ctg7180000009318, whole genome shotgun sequence
NZ_JGWU01000028.1 Bordetella bronchiseptica D989 ctg7180000009391, whole genome shotgun sequence
NZ_JGWU01000029.1 Bordetella bronchiseptica D989 ctg7180000009381, whole genome shotgun sequence
NZ_JGWU01000030.1 Bordetella bronchiseptica D989 ctg7180000009324, whole genome shotgun sequence
NZ_JGWU01000031.1 Bordetella bronchiseptica D989 ctg00002, whole genome shotgun sequence
NZ_JGWU01000032.1 Bordetella bronchiseptica D989 ctg000022, whole genome shotgun sequence
NZ_JGWU01000033.1 Bordetella bronchiseptica D989 ctg7180000009359, whole genome shotgun sequence
NZ_JGWU01000034.1 Bordetella bronchiseptica D989 ctg7180000009383, whole genome shotgun sequence
NZ_JGWU01000035.1 Bordetella bronchiseptica D989 ctg7180000009378, whole genome shotgun sequence
NZ_JGWU01000036.1 Bordetella bronchiseptica D989 ctg7180000009415, whole genome shotgun sequence
NZ_JGWU01000037.1 Bordetella bronchiseptica D989 ctg7180000009396, whole genome shotgun sequence
NZ_JGWU01000038.1 Bordetella bronchiseptica D989 ctg7180000009344, whole genome shotgun sequence
NZ_JGWU01000039.1 Bordetella bronchiseptica D989 deg7180000009138, whole genome shotgun sequence
NZ_JGWU01000040.1 Bordetella bronchiseptica D989 ctg000026, whole genome shotgun sequence
NZ_JGWU01000041.1 Bordetella bronchiseptica D989 ctg7180000009388, whole genome shotgun sequence
NZ_JGWU01000042.1 Bordetella bronchiseptica D989 ctg7180000009370, whole genome shotgun sequence
NZ_JGWU01000043.1 Bordetella bronchiseptica D989 ctg7180000009403, whole genome shotgun sequence
NZ_JGWU01000044.1 Bordetella bronchiseptica D989 ctg7180000009408, whole genome shotgun sequence
NZ_JGWU01000045.1 Bordetella bronchiseptica D989 ctg7180000009406, whole genome shotgun sequence
NZ_JGWU01000046.1 Bordetella bronchiseptica D989 ctg000010, whole genome shotgun sequence
NZ_JGWU01000047.1 Bordetella bronchiseptica D989 ctg000024, whole genome shotgun sequence
NZ_JGWU01000048.1 Bordetella bronchiseptica D989 ctg00001, whole genome shotgun sequence
NZ_JGWU01000049.1 Bordetella bronchiseptica D989 ctg00007, whole genome shotgun sequence
NZ_JGWU01000050.1 Bordetella bronchiseptica D989 ctg000031, whole genome shotgun sequence
NZ_JGWU01000051.1 Bordetella bronchiseptica D989 ctg00005, whole genome shotgun sequence
NZ_JGWU01000052.1 Bordetella bronchiseptica D989 ctg7180000009417, whole genome shotgun sequence
NZ_JGWU01000053.1 Bordetella bronchiseptica D989 ctg7180000009322, whole genome shotgun sequence
NZ_JGWU01000054.1 Bordetella bronchiseptica D989 ctg000021, whole genome shotgun sequence
NZ_JGWU01000055.1 Bordetella bronchiseptica D989 ctg7180000009407, whole genome shotgun sequence
