NC_008751.1 Desulfovibrio vulgaris DP4, complete genome
NC_008741.1 Desulfovibrio vulgaris DP4 plasmid pDVUL01, complete sequence
NC_011663.1 Shewanella baltica OS223, complete genome
NC_011664.1 Shewanella baltica OS223 plasmid pS22301, complete sequence
NC_011668.1 Shewanella baltica OS223 plasmid pS22302, complete sequence
NC_011665.1 Shewanella baltica OS223 plasmid pS22303, complete sequence
NC_006461.1 Thermus thermophilus HB8 chromosome, complete genome
NC_006462.1 Thermus thermophilus HB8 plasmid pTT27, complete sequence
NC_006463.1 Thermus thermophilus HB8 plasmid pTT8, complete sequence
NZ_CM000440.1 Fusobacterium nucleatum subsp. polymorphum ATCC 10953 chromosome, whole genome shotgun sequence
NC_009506.1 Fusobacterium nucleatum subsp. polymorphum ATCC 10953 plasmid pFN3, complete sequence
NZ_KQ235732.1 Fusobacterium nucleatum subsp. vincentii 4_1_13 supercont2.1, whole genome shotgun sequence
NZ_KQ235733.1 Fusobacterium nucleatum subsp. vincentii 4_1_13 supercont2.2, whole genome shotgun sequence
NZ_KQ235734.1 Fusobacterium nucleatum subsp. vincentii 4_1_13 supercont2.3, whole genome shotgun sequence
NZ_KQ235735.1 Fusobacterium nucleatum subsp. vincentii 4_1_13 supercont2.4, whole genome shotgun sequence
NZ_KQ235736.1 Fusobacterium nucleatum subsp. vincentii 4_1_13 supercont2.5, whole genome shotgun sequence
NZ_KQ235737.1 Fusobacterium nucleatum subsp. vincentii 4_1_13 supercont2.6, whole genome shotgun sequence
NZ_KQ235738.1 Fusobacterium nucleatum subsp. vincentii 4_1_13 supercont2.7, whole genome shotgun sequence
NZ_AGVN01000001.1 Enterococcus faecalis M7 contig00001, whole genome shotgun sequence
NZ_AGVN01000002.1 Enterococcus faecalis M7 contig00002, whole genome shotgun sequence
NZ_AGVN01000003.1 Enterococcus faecalis M7 contig00003, whole genome shotgun sequence
NZ_AGVN01000004.1 Enterococcus faecalis M7 contig00004, whole genome shotgun sequence
NZ_AGVN01000005.1 Enterococcus faecalis M7 contig00005, whole genome shotgun sequence
NZ_AGVN01000006.1 Enterococcus faecalis M7 contig00006, whole genome shotgun sequence
NZ_AGVN01000007.1 Enterococcus faecalis M7 contig00008, whole genome shotgun sequence
NZ_AGVN01000008.1 Enterococcus faecalis M7 contig00009, whole genome shotgun sequence
NZ_AGVN01000009.1 Enterococcus faecalis M7 contig00010, whole genome shotgun sequence
NZ_AGVN01000010.1 Enterococcus faecalis M7 contig00012, whole genome shotgun sequence
NZ_AGVN01000011.1 Enterococcus faecalis M7 contig00013, whole genome shotgun sequence
NZ_AGVN01000012.1 Enterococcus faecalis M7 contig00014, whole genome shotgun sequence
NZ_AGVN01000013.1 Enterococcus faecalis M7 contig00015, whole genome shotgun sequence
NZ_AGVN01000014.1 Enterococcus faecalis M7 contig00016, whole genome shotgun sequence
NZ_AGVN01000015.1 Enterococcus faecalis M7 contig00017, whole genome shotgun sequence
NZ_AGVN01000016.1 Enterococcus faecalis M7 contig00018, whole genome shotgun sequence
NZ_AGVN01000017.1 Enterococcus faecalis M7 contig00019, whole genome shotgun sequence
NZ_AGVN01000018.1 Enterococcus faecalis M7 contig00020, whole genome shotgun sequence
NZ_AGVN01000019.1 Enterococcus faecalis M7 contig00021, whole genome shotgun sequence
NZ_AGVN01000020.1 Enterococcus faecalis M7 contig00022, whole genome shotgun sequence
NZ_AGVN01000021.1 Enterococcus faecalis M7 contig00023, whole genome shotgun sequence
NZ_AGVN01000022.1 Enterococcus faecalis M7 contig00024, whole genome shotgun sequence
NZ_AGVN01000023.1 Enterococcus faecalis M7 contig00025, whole genome shotgun sequence
NZ_AGVN01000024.1 Enterococcus faecalis M7 contig00026, whole genome shotgun sequence
NZ_AGVN01000025.1 Enterococcus faecalis M7 contig00027, whole genome shotgun sequence
NZ_AGVN01000026.1 Enterococcus faecalis M7 contig00028, whole genome shotgun sequence
NZ_AGVN01000027.1 Enterococcus faecalis M7 contig00029, whole genome shotgun sequence
NZ_AGVN01000028.1 Enterococcus faecalis M7 contig00030, whole genome shotgun sequence
NZ_AGVN01000029.1 Enterococcus faecalis M7 contig00031, whole genome shotgun sequence
NZ_AGVN01000030.1 Enterococcus faecalis M7 contig00032, whole genome shotgun sequence
NZ_AGVN01000031.1 Enterococcus faecalis M7 contig00033, whole genome shotgun sequence
NZ_AGVN01000032.1 Enterococcus faecalis M7 contig00035, whole genome shotgun sequence
NZ_AGVN01000033.1 Enterococcus faecalis M7 contig00036, whole genome shotgun sequence
NZ_AGVN01000034.1 Enterococcus faecalis M7 contig00037, whole genome shotgun sequence
NZ_AGVN01000035.1 Enterococcus faecalis M7 contig00038, whole genome shotgun sequence
NZ_AGVN01000036.1 Enterococcus faecalis M7 contig00039, whole genome shotgun sequence
NZ_AGVN01000037.1 Enterococcus faecalis M7 contig00042, whole genome shotgun sequence
NZ_AGVN01000038.1 Enterococcus faecalis M7 contig00043, whole genome shotgun sequence
NZ_AGVN01000039.1 Enterococcus faecalis M7 contig00044, whole genome shotgun sequence
NZ_AGVN01000040.1 Enterococcus faecalis M7 contig00045, whole genome shotgun sequence
NZ_AGVN01000041.1 Enterococcus faecalis M7 contig00046, whole genome shotgun sequence
NZ_AGVN01000042.1 Enterococcus faecalis M7 contig00047, whole genome shotgun sequence
NZ_AGVN01000043.1 Enterococcus faecalis M7 contig00048, whole genome shotgun sequence
NZ_AGVN01000044.1 Enterococcus faecalis M7 contig00049, whole genome shotgun sequence
NZ_AGVN01000045.1 Enterococcus faecalis M7 contig00050, whole genome shotgun sequence
NZ_AGVN01000046.1 Enterococcus faecalis M7 contig00051, whole genome shotgun sequence
NZ_AGVN01000047.1 Enterococcus faecalis M7 contig00052, whole genome shotgun sequence
NZ_AGVN01000048.1 Enterococcus faecalis M7 contig00053, whole genome shotgun sequence
NZ_AGVN01000049.1 Enterococcus faecalis M7 contig00054, whole genome shotgun sequence
NZ_AGVN01000050.1 Enterococcus faecalis M7 contig00055, whole genome shotgun sequence
